-8.180000000000076099e-03,-1.070000000000015383e-02,-1.036000000000014687e-02,-9.910000000000085407e-03,-9.390000000000009450e-03,-8.820000000000050022e-03,-8.199999999999985079e-03,-7.570000000000076668e-03,-6.909999999999971720e-03,-6.210000000000048814e-03,-5.519999999999969376e-03,-4.820000000000046469e-03,-4.120000000000123563e-03,-3.419999999999978613e-03,-2.720000000000055707e-03,-2.080000000000081783e-03
-1.046000000000013586e-02,-9.730000000000016414e-03,-8.560000000000123066e-03,-7.060000000000066223e-03,-5.300000000000082423e-03,-3.319999999999989626e-03,-1.249999999999973355e-03,9.399999999999408828e-04,3.230000000000066152e-03,5.619999999999958362e-03,8.049999999999890576e-03,1.048000000000004484e-02,1.295000000000001705e-02,1.544999999999996376e-02,1.791999999999993598e-02,2.035999999999993371e-02
-9.759999999999990905e-03,-8.369999999999988560e-03,-6.129999999999968807e-03,-3.209999999999935127e-03,1.899999999999124611e-04,3.979999999999872529e-03,8.009999999999850573e-03,1.221999999999989761e-02,1.661999999999985711e-02,2.109000000000005315e-02,2.560999999999991061e-02,3.021999999999991360e-02,3.479999999999994209e-02,3.937999999999997058e-02,4.383999999999987907e-02,4.827999999999987857e-02
-9.130000000000082494e-03,-7.390000000000007674e-03,-4.340000000000010516e-03,-3.600000000001379874e-04,4.340000000000010516e-03,9.549999999999947420e-03,1.509999999999989129e-02,2.093999999999995865e-02,2.698000000000000398e-02,3.317999999999998728e-02,3.951999999999999957e-02,4.590999999999989534e-02,5.234999999999989662e-02,5.872999999999994891e-02,6.520999999999999019e-02,7.156999999999991147e-02
-8.329999999999948557e-03,-5.929999999999990834e-03,-1.780000000000114824e-03,3.679999999999905569e-03,9.949999999999903366e-03,1.692000000000004611e-02,2.428999999999992276e-02,3.193999999999985739e-02,3.976999999999986102e-02,4.769000000000001016e-02,5.549000000000003929e-02,6.329999999999991189e-02,7.098000000000004306e-02,7.850000000000001421e-02,8.562999999999987288e-02,9.258999999999995012e-02
-7.759999999999989129e-03,-4.950000000000009948e-03,4.999999999988347099e-05,6.569999999999964757e-03,1.417999999999985938e-02,2.249999999999996447e-02,3.140999999999993797e-02,4.068999999999989292e-02,5.021999999999993136e-02,5.991999999999997328e-02,6.956999999999990969e-02,7.925000000000004263e-02,8.881000000000005556e-02,9.821999999999997399e-02,1.075099999999999945e-01,1.163399999999998879e-01
-7.000000000000117240e-03,-3.610000000000113118e-03,2.519999999999855689e-03,1.049999999999995381e-02,1.977999999999990877e-02,3.003999999999984460e-02,4.095999999999988539e-02,5.234000000000005315e-02,6.400999999999990031e-02,7.599999999999984546e-02,8.786999999999989264e-02,9.986999999999990330e-02,1.117599999999998595e-01,1.234999999999999432e-01,1.348300000000000054e-01,1.460500000000000131e-01
-6.450000000000066791e-03,-2.610000000000001208e-03,4.329999999999945004e-03,1.339000000000001300e-02,2.394999999999991580e-02,3.564999999999995950e-02,4.810999999999987509e-02,6.109999999999993214e-02,7.448999999999994515e-02,8.817999999999992511e-02,1.021300000000000541e-01,1.159600000000000630e-01,1.297099999999999920e-01,1.434400000000000119e-01,1.568499999999999339e-01,1.700299999999999034e-01
-5.270000000000107931e-03,-3.500000000000724754e-04,8.240000000000025082e-03,1.916000000000006587e-02,3.170999999999990493e-02,4.532000000000002693e-02,5.925999999999986834e-02,7.315999999999989178e-02,8.682999999999996277e-02,9.959999999999991083e-02,1.122300000000000519e-01,1.246399999999998620e-01,1.379200000000000426e-01,1.526699999999998614e-01,1.685999999999998611e-01,1.851799999999999002e-01
-4.800000000000137490e-03,6.500000000000394351e-04,1.005999999999995786e-02,2.207000000000003403e-02,3.603999999999984993e-02,5.095000000000005080e-02,6.648999999999993804e-02,8.206000000000002181e-02,9.752999999999989456e-02,1.122799999999999354e-01,1.266399999999998638e-01,1.414899999999998936e-01,1.567000000000000615e-01,1.737299999999999400e-01,1.922500000000000320e-01,2.114949999999999886e-01
-4.029999999999978044e-03,2.029999999999976268e-03,1.256999999999997009e-02,2.601999999999993207e-02,4.173999999999988830e-02,5.845999999999995644e-02,7.617999999999991445e-02,9.393999999999991246e-02,1.115399999999999725e-01,1.287599999999999856e-01,1.458800000000000097e-01,1.628099999999998992e-01,1.810399999999998677e-01,2.010839999999999295e-01,2.226899999999999435e-01,2.451059999999999350e-01
